Disney_Movie,Disney_Rating,Disney_Genre,Disney_Tv_Ratings,Year,Runtime
Mulan,5.7,"Drama, Fantasy, Kids & Family, Action & Adventure",PG-13,2020,1min
Captain Sparky vs. The Flying Saucers,N/A,Animation,PG,2013,3min
Once Upon a Snowman,N/A,"Comedy, Kids & Family, Animation",G,2020,12min
Dark Phoenix,5.7,"Action & Adventure, Science-Fiction",PG-13,2019,1h 54min
Folklore: The Long Pond Studio Sessions,8.4,"Music & Musical, Documentary, Drama",PG,2020,1h 46min
The Ice Age Adventures of Buck Wild,4.3,"Animation, Fantasy, Drama, Action & Adventure, Comedy, Kids & Family",PG,2022,1h 22min
Victoria Gotti: My Father's Daughter,5.5,"Drama, Crime",PG,2019,1h 26min
Togo,7.9,"Kids & Family, Action & Adventure, Made in Europe, History, Drama",PG,2019,1h 53min
Playing with Sharks,7.5,Documentary,PG-13,2021,1h 35min
Stargirl,6.2,"Romance, Comedy, Drama, Fantasy, Kids & Family",PG,2020,1h 43min
Tinker Bell and the Legend of the NeverBeast,N/A,"Animation, Fantasy, Kids & Family, Action & Adventure",G,2014,1h 17min
Becoming Cousteau,7.1,Documentary,PG-13,2021,1h 34min
Hamilton: History Has Its Eyes On You,6.4,Documentary,PG,2020,46min
Shook,7.9,"Comedy, Kids & Family",G,2020,53min
Pixar 2021 Disney+ Day Special,N/A,Documentary,G,2021,4min
Finding Dory,7.3,"Comedy, Drama, Animation, Kids & Family",PG,2016,1h 37min
Expedition Everest,6.5,Documentary,PG,2020,42min
Mary Poppins Returns,6.7,"Comedy, Fantasy, Kids & Family, Animation",PG,2018,2h 10min
Disney Channel Halloween House Party,6.1,"Comedy, Kids & Family",N/A,2020,23min
Phineas and Ferb: Star Wars,N/A,"Science-Fiction, Animation, Kids & Family, Action & Adventure",G,2014,51min
Twenty Something,N/A,"Comedy, Drama, Animation",PG,2021,7min
Forky Asks A Question: What Is Time?,N/A,"Animation, Kids & Family, Comedy",G,2019,3min
The Kid Who Would Be King,6.1,"Action & Adventure, Fantasy, Kids & Family",PG,2019,2h 0min
Diary of a Wimpy Kid: The Long Haul,4.3,"Comedy, Kids & Family, Animation",PG,2017,1h 30min
Soul of a Nation Presents: X / o n e r a t e d – The Murder of Malcolm X and 55 Years to Justice,N/A,Documentary,N/A,2022,42min
Under Wraps,4.8,"Fantasy, Kids & Family, Comedy, Romance",PG,2021,1h 31min
Penguins,7.1,"Kids & Family, Documentary",G,2019,1h 47min
Idina Menzel: Which Way to the Stage?,7.1,"Music & Musical, Documentary",PG-13,2022,1h 34min
Planes,5.7,"Comedy, Animation, Kids & Family, Sport",PG,2013,1h 31min
Descendants 2,7.5,"Fantasy, Action & Adventure, Kids & Family, Romance",G,2017,1h 51min
Z-O-M-B-I-E-S 2,5.7,"Romance, Comedy, Kids & Family, Fantasy, Music & Musical",N/A,2020,1h 24min
