Titles,Genre,imdb,Tv-Ratings,runtime,Director,year
Better Nate Than Ever,"Music & Musical, Comedy, Drama, Kids & Family",6.4,PG,1h 32min,Tim Federle,2022
One Day at Disney,Documentary,7.0,N/A,59min,Fritz Mitchell,2019
The Little Guy,Science-Fiction,N/A,PG,6min,Kirsten Lepore,2022
The Lego Star Wars Holiday Special,"Comedy, Science-Fiction, Animation, Action & Adventure, Kids & Family",6.4,G,45min,Ken Cunningham,2020
Eyewitness: D-Day,Documentary,6.5,N/A,44min,N/A,2019
Happier Than Ever: A Love Letter to Los Angeles,"Music & Musical, Documentary",7.3,PG,1h 5min,David Clair,2021
Groot's Pursuit,Comedy,N/A,PG,6min,Kirsten Lepore,2022
Iron Man 3,"Action & Adventure, Science-Fiction",7.1,PG-13,2h 10min,Shane Black,2013
More Than Robots,"Kids & Family, Documentary",6.0,N/A,1h 29min,Gillian Jacobs,2022
Big Shot,Documentary,N/A,N/A,1h 17min,Kevin Connolly,2013
Hollywood Stargirl,"Comedy, Romance, Drama, Kids & Family",5.8,PG,1h 45min,Julia Hart,2022
Harmonious Live!,"Music & Musical, Kids & Family",7.5,N/A,32min,Alex Rudzinski,2022
Groot Takes a Bath,"Animation, Science-Fiction",N/A,PG,4min,Kirsten Lepore,2022
Flora & Ulysses,"Comedy, Kids & Family",6.2,PG,1h 35min,Lena Khan,2021
Torn,Documentary,7.4,N/A,1h 32min,Max Lowe,2021
Into the Woods,"Fantasy, Comedy, Drama",5.9,PG,2h 4min,Rob Marshall,2014
Cheaper by the Dozen,"Comedy, Kids & Family, Romance",4.5,PG,1h 47min,Gail Lerner,2022
Star Wars: The Force Awakens,"Fantasy, Action & Adventure, Science-Fiction",7.8,PG-13,2h 18min,J.J. Abrams,2015
Captain America: The Winter Soldier,"Science-Fiction, Action & Adventure, Mystery & Thriller",7.8,PG-13,2h 8min,Anthony Russo,2014
Retrograde,"Documentary, History, War & Military",7.4,R,1h 34min,Matthew Heineman,2022
The Rescue,"Mystery & Thriller, Drama, Documentary, Action & Adventure",8.4,PG,1h 47min,Jimmy Chin,2021
Free Solo,"Documentary, Action & Adventure, Sport",8.1,PG-13,1h 40min,Jimmy Chin,2018
Incredibles 2,"Animation, Action & Adventure, Kids & Family, Science-Fiction, Comedy",7.6,PG,1h 58min,Brad Bird,2018
Hamilton,"History, Drama, Music & Musical",8.4,PG-13,2h 40min,Thomas Kail,2020
The Nutcracker and the Four Realms,"Fantasy, Kids & Family",5.6,PG,1h 39min,Lasse Hallström,2018
Jungle Cruise,"Action & Adventure, Fantasy, Comedy, Kids & Family",6.6,PG-13,2h 7min,Jaume Collet-Serra,2021
LEGO Star Wars Summer Vacation,"Animation, Science-Fiction, Fantasy, Action & Adventure, Comedy, Kids & Family",5.6,G,45min,Ken Cunningham,2022
Black Widow,"Action & Adventure, Science-Fiction",6.7,PG-13,2h 14min,Cate Shortland,2021
